Combined Mathematics (FSA Mathematics and FSA EOCs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied filters: Grade Level equal to 09-Ninth, 10-Tenth, 11-Eleventh, 12-Twelfth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
,,% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4)
District,Grade Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ALACHUA,09-Ninth,15.0%,"1,816","1,120",24.3%,14.0%,61.7%,29.4%,14.4%,14.8%,"1,772",963,32.0%,13.7%,54.3%,27.1%,12.3%,15.5%,"1,789",951,34.3%,12.6%,53.2%,26.8%,11.3%,12.3%,"1,567",856,31.2%,14.2%,54.6%,27.1%,14.8%
01-ALACHUA,10-Tenth,12.8%,"1,391",878,17.3%,19.6%,63.1%,26.3%,13.5%,10.4%,"1,522",829,26.0%,19.5%,54.5%,21.5%,11.1%,11.8%,"1,347",754,22.6%,21.5%,56.0%,23.7%,11.9%,10.8%,692,399,22.4%,19.9%,57.7%,24.6%,13.7%
01-ALACHUA,11-Eleventh,2.2%,952,264,47.8%,24.5%,27.7%,6.4%,4.2%,2.1%,"1,054",276,51.8%,22.0%,26.2%,6.3%,4.2%,4.2%,942,288,48.6%,20.8%,30.6%,9.9%,5.6%,3.8%,447,127,53.9%,17.7%,28.4%,12.3%,8.5%
01-ALACHUA,12-Twelfth,4.4%,91,20,62.6%,15.4%,22.0%,9.9%,5.5%,3.0%,166,37,65.1%,12.7%,22.3%,9.0%,6.0%,6.9%,144,40,59.7%,12.5%,27.8%,11.1%,4.2%,6.7%,120,43,55.0%,9.2%,35.8%,17.5%,10.8%
02-BAKER,09-Ninth,4.8%,378,187,34.4%,16.1%,49.5%,16.9%,12.2%,5.9%,353,182,29.7%,18.7%,51.6%,20.1%,14.2%,8.3%,290,185,21.7%,14.5%,63.8%,27.9%,19.7%,16.9%,272,196,17.3%,10.7%,72.1%,37.1%,20.2%
02-BAKER,10-Tenth,1.7%,288,129,26.0%,29.2%,44.8%,9.7%,8.0%,6.9%,247,144,13.8%,27.9%,58.3%,17.0%,10.1%,10.1%,189,158,6.3%,10.1%,83.6%,27.0%,16.9%,9.7%,154,123,13.6%,6.5%,79.9%,43.5%,33.8%
02-BAKER,11-Eleventh,0.0%,124,20,48.4%,35.5%,16.1%,0.0%,0.0%,0.7%,148,24,48.0%,35.8%,16.2%,3.4%,2.7%,1.3%,158,45,46.8%,24.7%,28.5%,3.8%,2.5%,1.6%,123,88,12.2%,16.3%,71.5%,17.9%,16.3%
02-BAKER,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,0.0%,12,**,58.3%,16.7%,25.0%,0.0%,0.0%,0.0%,18,13,11.1%,16.7%,72.2%,11.1%,11.1%
03-BAY,09-Ninth,9.2%,"1,775","1,011",27.2%,15.9%,57.0%,23.4%,14.1%,10.1%,"1,508",938,22.4%,15.4%,62.2%,25.7%,15.6%,11.9%,"1,552","1,056",18.8%,13.2%,68.0%,29.4%,17.5%,12.2%,"1,250",837,20.3%,12.7%,67.0%,30.3%,18.2%
03-BAY,10-Tenth,7.4%,"1,171",699,18.4%,21.9%,59.7%,19.3%,11.9%,6.4%,"1,179",653,24.3%,20.4%,55.4%,15.9%,9.6%,6.3%,"1,243",677,26.2%,19.3%,54.5%,16.4%,10.1%,4.0%,"1,041",577,25.9%,18.6%,55.4%,17.6%,13.5%
03-BAY,11-Eleventh,3.9%,751,264,40.6%,24.2%,35.2%,8.1%,4.3%,1.8%,813,243,45.9%,24.2%,29.9%,6.0%,4.2%,2.8%,774,275,38.4%,26.1%,35.5%,7.0%,4.1%,2.0%,496,169,38.7%,27.2%,34.1%,7.5%,5.4%
03-BAY,12-Twelfth,0.6%,167,34,52.7%,26.9%,20.4%,3.6%,3.0%,1.9%,155,29,54.2%,27.1%,18.7%,3.2%,1.3%,2.7%,186,41,53.2%,24.7%,22.0%,5.9%,3.2%,4.5%,155,43,53.5%,18.7%,27.7%,7.1%,2.6%
04-BRADFORD,09-Ninth,1.0%,194,61,42.8%,25.8%,31.4%,4.1%,3.1%,0.5%,190,33,61.6%,21.1%,17.4%,6.3%,5.8%,4.3%,92,54,22.8%,18.5%,58.7%,13.0%,8.7%,3.4%,59,33,16.9%,27.1%,55.9%,10.2%,6.8%
04-BRADFORD,10-Tenth,0.6%,171,34,53.8%,26.3%,19.9%,3.5%,2.9%,0.0%,150,21,64.0%,22.0%,14.0%,1.3%,1.3%,4.6%,65,30,38.5%,15.4%,46.2%,18.5%,13.8%,1.1%,90,24,55.6%,17.8%,26.7%,6.7%,5.6%
04-BRADFORD,11-Eleventh,0.0%,41,**,48.8%,29.3%,22.0%,2.4%,2.4%,0.0%,35,**,45.7%,45.7%,8.6%,0.0%,0.0%,6.1%,33,**,51.5%,21.2%,27.3%,6.1%,0.0%,1.2%,83,**,72.3%,18.1%,9.6%,1.2%,0.0%
04-BRADFORD,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,0.0%,13,**,61.5%,38.5%,0.0%,0.0%,0.0%,0.0%,16,**,81.3%,18.8%,0.0%,0.0%,0.0%,14.3%,14,**,71.4%,0.0%,28.6%,14.3%,0.0%
05-BREVARD,09-Ninth,11.7%,"4,534","3,102",17.9%,13.7%,68.4%,28.0%,16.3%,11.2%,"4,613","2,895",20.5%,16.8%,62.8%,25.2%,14.0%,12.7%,"4,468","2,919",19.3%,15.4%,65.3%,26.6%,13.9%,10.4%,"3,724","2,460",18.9%,15.0%,66.1%,27.4%,17.1%
05-BREVARD,10-Tenth,5.2%,"4,256","2,109",27.3%,23.1%,49.6%,13.4%,8.2%,5.9%,"4,617","2,237",30.2%,21.3%,48.5%,14.4%,8.5%,7.0%,"4,239","1,945",32.0%,22.2%,45.9%,14.2%,7.2%,2.1%,"2,419",899,42.4%,20.4%,37.2%,7.9%,5.7%
05-BREVARD,11-Eleventh,0.8%,"1,933",408,53.1%,25.8%,21.1%,2.9%,2.1%,1.8%,"2,224",535,52.3%,23.6%,24.1%,5.3%,3.5%,2.1%,"2,196",572,49.3%,24.6%,26.0%,5.4%,3.3%,1.6%,764,159,60.2%,19.0%,20.8%,4.2%,2.6%
05-BREVARD,12-Twelfth,1.1%,285,55,61.1%,19.6%,19.3%,2.1%,1.1%,2.0%,342,54,64.6%,19.6%,15.8%,4.7%,2.6%,2.7%,411,75,59.4%,22.4%,18.2%,4.9%,2.2%,3.0%,233,44,64.8%,16.3%,18.9%,5.6%,2.6%
06-BROWARD,09-Ninth,10.5%,"16,776","9,705",27.7%,14.4%,57.9%,24.2%,13.7%,11.7%,"16,337","9,559",26.1%,15.4%,58.5%,24.7%,13.1%,13.8%,"14,594","10,034",17.7%,13.6%,68.8%,31.3%,17.5%,10.3%,"11,635","7,475",21.3%,14.5%,64.2%,27.2%,17.0%
06-BROWARD,10-Tenth,6.0%,"14,336","6,688",32.3%,21.0%,46.7%,14.6%,8.6%,6.0%,"15,208","6,302",38.0%,20.6%,41.4%,13.9%,7.9%,7.9%,"13,626","6,695",30.9%,19.9%,49.1%,17.4%,9.5%,4.0%,"11,257","4,533",40.3%,19.5%,40.3%,12.1%,8.0%
06-BROWARD,11-Eleventh,1.5%,"9,443","2,229",53.0%,23.4%,23.6%,4.4%,2.8%,3.4%,"9,850","2,572",51.6%,22.3%,26.1%,6.9%,3.6%,3.7%,"9,436","2,809",47.7%,22.5%,29.8%,8.3%,4.6%,1.9%,"5,227",970,64.8%,16.6%,18.6%,5.1%,3.3%
06-BROWARD,12-Twelfth,0.5%,"2,193",215,75.1%,15.1%,9.8%,1.4%,0.9%,1.3%,"2,075",241,72.3%,16.1%,11.6%,2.8%,1.5%,2.0%,"2,522",470,64.9%,16.5%,18.6%,5.0%,3.0%,2.5%,"1,649",303,70.8%,10.8%,18.4%,5.6%,3.0%
07-CALHOUN,09-Ninth,7.8%,129,99,1.6%,21.7%,76.7%,28.7%,20.9%,9.0%,122,90,13.1%,13.1%,73.8%,28.7%,19.7%,9.8%,133,87,15.8%,18.8%,65.4%,33.1%,23.3%,10.9%,137,88,16.8%,19.0%,64.2%,25.5%,14.6%
07-CALHOUN,10-Tenth,8.6%,139,87,14.4%,23.0%,62.6%,17.3%,8.6%,3.8%,159,67,30.8%,27.0%,42.1%,10.1%,6.3%,12.2%,147,92,19.0%,18.4%,62.6%,23.1%,10.9%,3.1%,127,60,33.1%,19.7%,47.2%,14.2%,11.0%
07-CALHOUN,11-Eleventh,2.2%,136,26,50.0%,30.9%,19.1%,7.4%,5.1%,5.3%,57,18,47.4%,21.1%,31.6%,7.0%,1.8%,0.0%,56,14,55.4%,19.6%,25.0%,7.1%,7.1%,5.3%,19,**,52.6%,21.1%,26.3%,15.8%,10.5%
07-CALHOUN,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,0.0%,11,**,63.6%,18.2%,18.2%,9.1%,9.1%,**.*,**,**,**.*,**.*,**.*,**.*,**.*
08-CHARLOTTE,09-Ninth,6.9%,"1,255",721,28.1%,14.4%,57.5%,22.1%,15.1%,7.0%,"1,237",719,26.1%,15.8%,58.1%,20.2%,13.3%,9.6%,"1,275",746,28.5%,13.0%,58.5%,25.9%,16.3%,11.0%,852,598,14.4%,15.4%,70.2%,28.6%,17.6%
08-CHARLOTTE,10-Tenth,6.0%,"1,194",577,29.2%,22.4%,48.3%,14.4%,8.4%,5.0%,"1,291",559,33.8%,22.9%,43.3%,13.7%,8.7%,7.1%,"1,074",588,24.4%,20.9%,54.7%,17.4%,10.3%,7.0%,645,367,24.7%,18.4%,56.9%,18.9%,11.9%
08-CHARLOTTE,11-Eleventh,1.2%,608,135,50.0%,27.8%,22.2%,2.8%,1.6%,1.9%,575,148,47.8%,26.4%,25.7%,5.0%,3.1%,3.1%,520,212,34.4%,24.8%,40.8%,9.4%,6.3%,1.8%,273,66,46.2%,29.7%,24.2%,5.5%,3.7%
08-CHARLOTTE,12-Twelfth,0.0%,83,**,66.3%,22.9%,10.8%,2.4%,2.4%,2.0%,102,23,67.6%,9.8%,22.5%,4.9%,2.9%,0.0%,57,17,52.6%,17.5%,29.8%,1.8%,1.8%,4.3%,47,19,42.6%,17.0%,40.4%,14.9%,10.6%
09-CITRUS,09-Ninth,6.8%,706,422,24.9%,15.3%,59.8%,20.5%,13.7%,4.7%,953,587,21.1%,17.3%,61.6%,18.0%,13.3%,5.7%,"1,000",596,24.0%,16.4%,59.6%,20.2%,14.5%,4.8%,855,556,20.2%,14.7%,65.0%,22.6%,17.8%
09-CITRUS,10-Tenth,3.6%,641,315,26.8%,24.0%,49.1%,10.9%,7.3%,2.2%,873,421,28.1%,23.7%,48.2%,10.1%,7.9%,1.7%,769,372,27.4%,24.2%,48.4%,8.6%,6.9%,2.3%,645,285,31.5%,24.3%,44.2%,8.4%,6.0%
09-CITRUS,11-Eleventh,0.8%,476,101,58.0%,20.8%,21.2%,3.8%,2.9%,0.4%,530,120,50.8%,26.6%,22.6%,3.4%,3.0%,2.5%,448,137,45.1%,24.3%,30.6%,4.5%,2.0%,1.0%,206,62,37.4%,32.5%,30.1%,4.9%,3.9%
09-CITRUS,12-Twelfth,2.3%,130,20,60.8%,23.8%,15.4%,3.1%,0.8%,0.7%,145,30,62.8%,16.6%,20.7%,4.1%,3.4%,2.0%,102,24,52.9%,23.5%,23.5%,2.0%,0.0%,2.6%,78,20,56.4%,17.9%,25.6%,3.8%,1.3%
10-CLAY,09-Ninth,13.8%,"2,766","1,853",21.0%,12.0%,67.0%,32.0%,18.3%,11.5%,"2,901","1,823",24.3%,12.9%,62.8%,27.7%,16.2%,13.2%,"2,792","1,905",21.4%,10.4%,68.2%,33.2%,20.0%,9.3%,"2,843","1,757",24.9%,13.3%,61.8%,27.2%,17.9%
10-CLAY,10-Tenth,8.9%,"2,325","1,501",16.6%,18.8%,64.6%,22.6%,13.7%,11.4%,"2,389","1,499",20.1%,17.2%,62.7%,24.3%,12.9%,12.2%,"2,221","1,448",17.0%,17.8%,65.2%,28.2%,16.0%,4.2%,"1,554",877,22.0%,21.6%,56.4%,16.4%,12.2%
10-CLAY,11-Eleventh,0.7%,"1,005",266,42.4%,31.1%,26.5%,3.7%,3.0%,1.9%,"1,602",513,40.4%,27.6%,32.0%,6.8%,4.9%,3.2%,"1,333",453,41.3%,24.8%,34.0%,7.8%,4.7%,1.2%,745,145,55.2%,25.4%,19.5%,3.6%,2.4%
10-CLAY,12-Twelfth,2.2%,45,12,35.6%,37.8%,26.7%,4.4%,2.2%,1.5%,132,34,46.2%,28.0%,25.8%,4.5%,3.0%,2.4%,245,63,51.0%,23.3%,25.7%,7.8%,5.3%,7.1%,98,37,53.1%,9.2%,37.8%,11.2%,4.1%
11-COLLIER,09-Ninth,9.3%,"3,251","1,893",24.4%,17.4%,58.2%,21.6%,12.3%,11.7%,"3,438","2,033",27.1%,13.8%,59.1%,24.3%,12.6%,14.3%,"3,665","2,348",24.6%,11.4%,64.1%,31.1%,16.8%,14.9%,"3,391","2,125",25.4%,11.9%,62.7%,30.7%,15.9%
11-COLLIER,10-Tenth,8.9%,"2,520","1,373",22.8%,22.7%,54.5%,18.6%,9.7%,10.3%,"2,356","1,342",21.7%,21.3%,57.0%,20.9%,10.7%,16.2%,"2,223","1,561",14.0%,15.8%,70.2%,29.6%,13.4%,7.1%,"1,473","1,010",13.8%,17.7%,68.6%,20.8%,13.8%
11-COLLIER,11-Eleventh,2.7%,"1,756",469,49.4%,23.9%,26.7%,6.0%,3.4%,2.3%,"1,434",413,46.6%,24.6%,28.8%,6.4%,4.1%,3.8%,"1,326",466,43.8%,21.0%,35.1%,9.2%,5.4%,2.6%,"1,167",391,43.6%,22.9%,33.5%,7.6%,5.1%
11-COLLIER,12-Twelfth,0.6%,165,27,57.0%,26.7%,16.4%,1.2%,0.6%,5.0%,119,37,43.7%,25.2%,31.1%,9.2%,4.2%,7.9%,152,49,43.4%,24.3%,32.2%,13.2%,5.3%,13.2%,106,45,42.5%,15.1%,42.5%,23.6%,10.4%
12-COLUMBIA,09-Ninth,5.1%,665,271,36.7%,22.6%,40.8%,11.4%,6.3%,2.6%,613,210,44.0%,21.7%,34.3%,7.3%,4.7%,3.1%,703,286,40.3%,19.1%,40.7%,10.0%,6.8%,5.9%,610,285,41.5%,11.8%,46.7%,18.9%,13.0%
12-COLUMBIA,10-Tenth,5.6%,465,202,38.7%,17.8%,43.4%,17.2%,11.6%,7.5%,424,198,35.1%,18.2%,46.7%,18.4%,10.8%,6.3%,464,217,30.8%,22.4%,46.8%,13.8%,7.5%,2.0%,294,113,36.1%,25.5%,38.4%,9.9%,7.8%
12-COLUMBIA,11-Eleventh,0.7%,414,170,38.9%,20.0%,41.1%,6.0%,5.3%,1.5%,408,154,39.0%,23.3%,37.7%,4.9%,3.4%,2.3%,390,112,49.0%,22.3%,28.7%,5.9%,3.6%,0.6%,163,19,74.2%,14.1%,11.7%,0.6%,0.0%
12-COLUMBIA,12-Twelfth,0.0%,27,10,59.3%,3.7%,37.0%,0.0%,0.0%,0.0%,79,**,77.2%,13.9%,8.9%,1.3%,1.3%,0.0%,39,**,56.4%,30.8%,12.8%,2.6%,2.6%,0.0%,29,**,69.0%,13.8%,17.2%,3.4%,3.4%
